Source,Target,Weight,Type
Cersei Lannister,Joffrey Baratheon,3.828641396489095,Undirected
Cersei Lannister,Meryn Trant,0.0,Undirected
Cersei Lannister,Thoros of Myr,1.0986122886681098,Undirected
Cersei Lannister,Tywin Lannister,2.995732273553991,Undirected
Cersei Lannister,Walder Frey,1.3862943611198906,Undirected
Joffrey Baratheon,Meryn Trant,0.0,Undirected
Joffrey Baratheon,Thoros of Myr,0.0,Undirected
Joffrey Baratheon,Tywin Lannister,2.6390573296152584,Undirected
Joffrey Baratheon,Walder Frey,2.302585092994046,Undirected
Meryn Trant,Thoros of Myr,0.6931471805599453,Undirected
Meryn Trant,Tywin Lannister,0.0,Undirected
Meryn Trant,Walder Frey,1.0986122886681098,Undirected
Thoros of Myr,Tywin Lannister,0.0,Undirected
Thoros of Myr,Walder Frey,0.6931471805599453,Undirected
Tywin Lannister,Walder Frey,2.1972245773362196,Undirected
Jon Snow,Ramsay Bolton,3.2188758248682006,Undirected
Brienne of Tarth,Tyrion Lannister,5.8971538676367405,Undirected
Brienne of Tarth,Ygritte,1.6094379124341003,Undirected
Tyrion Lannister,Ygritte,1.3862943611198906,Undirected
Bran Stark,Jon Snow,9.6302999262348,Undirected
Arya Stark,Jaime Lannister,6.169610732491456,Undirected
Jaime Lannister,Tyrion Lannister,6.842683282238422,Undirected
Arya Stark,Brienne of Tarth,9.809616336926057,Undirected
Arya Stark,Jorah Mormont,2.0794415416798357,Undirected
Arya Stark,Missandei,2.4849066497880004,Undirected
Arya Stark,Varys,2.6390573296152584,Undirected
Brienne of Tarth,Grey Worm,2.1972245773362196,Undirected
Brienne of Tarth,Missandei,2.3978952727983707,Undirected
Brienne of Tarth,Varys,1.0986122886681098,Undirected
Grey Worm,Jaime Lannister,1.9459101490553132,Undirected
Grey Worm,Jorah Mormont,2.302585092994046,Undirected
Grey Worm,Missandei,3.871201010907891,Undirected
Grey Worm,Varys,0.6931471805599453,Undirected
Jaime Lannister,Missandei,1.3862943611198906,Undirected
Jaime Lannister,Varys,2.1972245773362196,Undirected
Jorah Mormont,Missandei,4.127134385045092,Undirected
Jorah Mormont,Varys,0.6931471805599453,Undirected
Missandei,Varys,1.6094379124341003,Undirected
Arya Stark,Tywin Lannister,1.791759469228055,Undirected
Sansa Stark,Tywin Lannister,1.9459101490553132,Undirected
Bran Stark,Jaime Lannister,4.997212273764115,Undirected
Bran Stark,Oberyn Martell,0.0,Undirected
Bran Stark,Robb Stark,2.6390573296152584,Undirected
Jaime Lannister,Oberyn Martell,1.3862943611198906,Undirected
Gilly,Jon Snow,5.783825182329737,Undirected
Jon Snow,Oberyn Martell,1.791759469228055,Undirected
Benjen Stark,Bran Stark,2.0794415416798357,Undirected
Benjen Stark,Cersei Lannister,0.6931471805599453,Undirected
Bran Stark,Cersei Lannister,6.182084906716632,Undirected
Daenerys Targaryen,Little Sam,4.7535901911063645,Undirected
Beric Dondarrion,Jon Snow,2.5649493574615367,Undirected
Euron Greyjoy,Ramsay Bolton,4.406719247264253,Undirected
Rhaegar Targaryen,Robert Baratheon,5.752572638825633,Undirected
Brienne of Tarth,Sansa Stark,4.976733742420574,Undirected
Arya Stark,Old Nan,0.6931471805599453,Undirected
Gendry,Melisandre,1.6094379124341003,Undirected
Petyr Baelish,Theon Greyjoy,1.791759469228055,Undirected
Petyr Baelish,Tyrion Lannister,1.3862943611198906,Undirected
Theon Greyjoy,Tyrion Lannister,4.574710978503383,Undirected
Jaime Lannister,Khal Drogo,1.3862943611198906,Undirected
Khal Drogo,Robb Stark,1.6094379124341003,Undirected
Khal Drogo,Tormund Giantsbane,0.0,Undirected
Robb Stark,Tormund Giantsbane,1.3862943611198906,Undirected
Arya Stark,Daenerys Targaryen,4.812184355372417,Undirected
Aeron Greyjoy,Doran Martell,0.0,Undirected
Cersei Lannister,Robert Baratheon,3.258096538021482,Undirected
Bran Stark,Sansa Stark,7.883069351305753,Undirected
Daenerys Targaryen,Ellaria Sand,0.0,Undirected
Daenerys Targaryen,Olenna Tyrell,1.3862943611198906,Undirected
Daenerys Targaryen,Yara Greyjoy,2.70805020110221,Undirected
Ellaria Sand,Olenna Tyrell,0.6931471805599453,Undirected
Ellaria Sand,Yara Greyjoy,2.5649493574615367,Undirected
Olenna Tyrell,Yara Greyjoy,0.6931471805599453,Undirected
Tyrion Lannister,Tywin Lannister,3.1354942159291497,Undirected
Cersei Lannister,Theon Greyjoy,6.025865973825314,Undirected
Sansa Stark,Theon Greyjoy,6.2285110035911835,Undirected
Bran Stark,Little Sam,5.834810737062605,Undirected
Arya Stark,Rickon Stark,2.1972245773362196,Undirected
Bran Stark,Grey Worm,2.1972245773362196,Undirected
Bran Stark,Lady Crane,2.772588722239781,Undirected
Bran Stark,Nymeria Sand,2.0794415416798357,Undirected
Grey Worm,Rickon Stark,2.1972245773362196,Undirected
Grey Worm,Robb Stark,2.0794415416798357,Undirected
Grey Worm,Sansa Stark,2.70805020110221,Undirected
Lady Crane,Rickon Stark,2.0794415416798357,Undirected
Lady Crane,Robb Stark,2.0794415416798357,Undirected
Nymeria Sand,Rickon Stark,2.0794415416798357,Undirected
Nymeria Sand,Robb Stark,2.0794415416798357,Undirected
Nymeria Sand,Sansa Stark,2.1972245773362196,Undirected
Rickon Stark,Robb Stark,2.70805020110221,Undirected
Rickon Stark,Sansa Stark,2.1972245773362196,Undirected
Khal Drogo,Oberyn Martell,0.0,Undirected
Euron Greyjoy,Qyburn,1.6094379124341003,Undirected
Euron Greyjoy,Theon Greyjoy,5.198497031265826,Undirected
Qyburn,Theon Greyjoy,1.0986122886681098,Undirected
Cersei Lannister,Gendry,2.5649493574615367,Undirected
Lady Crane,Olenna Tyrell,4.07753744390572,Undirected
Arya Stark,Gendry,6.2766434893416445,Undirected
Hodor,Melisandre,0.0,Undirected
Arya Stark,Bronn,2.9444389791664403,Undirected
Arya Stark,Tormund Giantsbane,3.9889840465642745,Undirected
Arya Stark,Tyrion Lannister,5.0369526024136295,Undirected
Brienne of Tarth,Bronn,4.6913478822291435,Undirected
Bronn,Cersei Lannister,4.430816798843313,Undirected
Bronn,Jaime Lannister,5.44673737166631,Undirected
Bronn,Jon Snow,3.4339872044851463,Undirected
Bronn,Tormund Giantsbane,3.912023005428146,Undirected
Bronn,Tyrion Lannister,6.304448802421981,Undirected
Cersei Lannister,Tormund Giantsbane,4.127134385045092,Undirected
Hodor,Tyrion Lannister,2.302585092994046,Undirected
Benjen Stark,Thoros of Myr,1.9459101490553132,Undirected
Brienne of Tarth,Gendry,2.4849066497880004,Undirected
Brienne of Tarth,Theon Greyjoy,3.912023005428146,Undirected
Gendry,Theon Greyjoy,1.6094379124341003,Undirected
Melisandre,Thoros of Myr,0.6931471805599453,Undirected
Margaery Tyrell,Olenna Tyrell,1.3862943611198906,Undirected
Grey Worm,Jon Snow,2.995732273553991,Undirected
Jon Snow,Lady Crane,5.568344503761097,Undirected
Jon Snow,Nymeria Sand,2.833213344056216,Undirected
Jon Snow,Rickon Stark,2.772588722239781,Undirected
Brienne of Tarth,Davos Seaworth,4.882801922586371,Undirected
Brienne of Tarth,Margaery Tyrell,0.0,Undirected
Davos Seaworth,Margaery Tyrell,0.0,Undirected
Davos Seaworth,Ygritte,0.0,Undirected
Margaery Tyrell,Ygritte,1.0986122886681098,Undirected
Jon Snow,Missandei,4.624972813284271,Undirected
Daenerys Targaryen,Missandei,3.828641396489095,Undirected
Bran Stark,Rhaegar Targaryen,8.304989580140361,Undirected
Daario Naharis,Yara Greyjoy,0.0,Undirected
Gilly,Lyanna Stark,2.70805020110221,Undirected
Gilly,Rhaegar Targaryen,3.367295829986474,Undirected
Gendry,Tormund Giantsbane,3.4657359027997265,Undirected
Gendry,Tyrion Lannister,1.9459101490553132,Undirected
Gregor Clegane,Sandor Clegane,3.7612001156935624,Undirected
Bran Stark,Joffrey Baratheon,1.3862943611198906,Undirected
Black Walder Rivers,Cersei Lannister,1.9459101490553132,Undirected
Black Walder Rivers,Jon Snow,2.302585092994046,Undirected
Daario Naharis,Daenerys Targaryen,7.455298485683291,Undirected
Bronn,Davos Seaworth,2.6390573296152584,Undirected
Davos Seaworth,Jon Snow,5.645446897643238,Undirected
Davos Seaworth,Tormund Giantsbane,2.772588722239781,Undirected
Davos Seaworth,Tyrion Lannister,5.308267697401205,Undirected
Jon Snow,Olly,0.0,Undirected
Bran Stark,Euron Greyjoy,2.70805020110221,Undirected
Benjen Stark,Black Walder Rivers,0.6931471805599453,Undirected
Benjen Stark,Brother Ray,0.6931471805599453,Undirected
Black Walder Rivers,Brother Ray,0.6931471805599453,Undirected
Ramsay Bolton,Sansa Stark,3.4339872044851463,Undirected
Jaime Lannister,Olenna Tyrell,2.772588722239781,Undirected
Euron Greyjoy,Jaime Lannister,5.099866427824199,Undirected
Daenerys Targaryen,High Priestess of the Dosh Khaleen,2.3978952727983707,Undirected
Arya Stark,Walder Frey,2.0794415416798357,Undirected
Daenerys Targaryen,Ramsay Bolton,0.6931471805599453,Undirected
Ramsay Bolton,Tyrion Lannister,1.6094379124341003,Undirected
Tyrion Lannister,Varys,3.871201010907891,Undirected
Daenerys Targaryen,Davos Seaworth,4.820281565605037,Undirected
Joffrey Baratheon,Lady Crane,1.0986122886681098,Undirected
Joffrey Baratheon,Olenna Tyrell,2.0794415416798357,Undirected
Cersei Lannister,Lady Crane,2.1972245773362196,Undirected
Cersei Lannister,Olenna Tyrell,3.1780538303479458,Undirected
Euron Greyjoy,Jorah Mormont,1.791759469228055,Undirected
Euron Greyjoy,Lysa Arryn,0.0,Undirected
Euron Greyjoy,Tyrion Lannister,5.111987788356544,Undirected
Jorah Mormont,Lysa Arryn,0.0,Undirected
Jorah Mormont,Tyrion Lannister,5.0106352940962555,Undirected
Lysa Arryn,Tyrion Lannister,0.0,Undirected
Alliser Thorne,Jon Snow,0.6931471805599453,Undirected
Arya Stark,Olenna Tyrell,1.791759469228055,Undirected
Jon Snow,Olenna Tyrell,1.6094379124341003,Undirected
Nymeria Sand,Olenna Tyrell,1.0986122886681098,Undirected
Myrcella Baratheon,Sansa Stark,0.6931471805599453,Undirected
Myrcella Baratheon,Theon Greyjoy,0.0,Undirected
Myrcella Baratheon,Tommen Baratheon,3.2188758248682006,Undirected
Sansa Stark,Tommen Baratheon,0.6931471805599453,Undirected
Theon Greyjoy,Tommen Baratheon,0.0,Undirected
Olenna Tyrell,Tormund Giantsbane,0.6931471805599453,Undirected
Jaime Lannister,Little Sam,4.584967478670572,Undirected
Jaime Lannister,Lady Crane,2.3978952727983707,Undirected
Jaime Lannister,Nymeria Sand,0.0,Undirected
Cersei Lannister,Euron Greyjoy,5.808142489980444,Undirected
Jon Snow,Walder Frey,0.0,Undirected
Cersei Lannister,Qyburn,3.5553480614894135,Undirected
Jaime Lannister,Joffrey Baratheon,0.6931471805599453,Undirected
Black Walder Rivers,Kraznys mo Nakloz,0.0,Undirected
Black Walder Rivers,Maester Aemon,0.0,Undirected
Black Walder Rivers,Qhorin Halfhand,0.0,Undirected
Black Walder Rivers,Theon Greyjoy,0.0,Undirected
Jon Snow,Kraznys mo Nakloz,0.0,Undirected
Jon Snow,Maester Aemon,3.4657359027997265,Undirected
Jon Snow,Qhorin Halfhand,0.0,Undirected
Jon Snow,Theon Greyjoy,7.157735484249907,Undirected
Kraznys mo Nakloz,Maester Aemon,0.0,Undirected
Kraznys mo Nakloz,Qhorin Halfhand,0.0,Undirected
Kraznys mo Nakloz,Theon Greyjoy,0.0,Undirected
Maester Aemon,Qhorin Halfhand,0.0,Undirected
Maester Aemon,Theon Greyjoy,0.0,Undirected
Qhorin Halfhand,Theon Greyjoy,0.0,Undirected
Alliser Thorne,Brienne of Tarth,0.0,Undirected
Alliser Thorne,Bronn,0.0,Undirected
Alliser Thorne,Jaime Lannister,0.0,Undirected
Alliser Thorne,Viserys Targaryen,1.0986122886681098,Undirected
Brienne of Tarth,Viserys Targaryen,0.0,Undirected
Bronn,Viserys Targaryen,0.0,Undirected
Jaime Lannister,Viserys Targaryen,1.6094379124341003,Undirected
Jon Snow,Viserys Targaryen,2.9444389791664403,Undirected
Balon Greyjoy,Bran Stark,0.0,Undirected
Balon Greyjoy,Cersei Lannister,0.0,Undirected
Balon Greyjoy,Renly Baratheon,0.0,Undirected
Balon Greyjoy,Tyene Sand,0.0,Undirected
Bran Stark,Renly Baratheon,0.0,Undirected
Bran Stark,Tyene Sand,0.0,Undirected
Cersei Lannister,Renly Baratheon,1.0986122886681098,Undirected
Cersei Lannister,Tyene Sand,0.6931471805599453,Undirected
